name;birthdate;email;phone
Nuno Dinis Rodrigues Fonseca;03-01-1962;nuno.947.dinis@hotmail.com;927548382
Lucas Lourenço Pires Coelho;22-02-1978;lucas.95.louren@microsoft.com;986503565
Martim Luís Guerreiro Figueiredo;14-02-1993;martim.80.lu@outlook.com;958019836
Sofia Clara Mendes Magalhães;11-01-2005;sofia.503.clara@outlook.com;917072762
Rodrigo Dinis Coelho Correia;01-09-1970;rodrigo.501.dinis@microsoft.com;907729280
Fabiana Eva Machado Rocha;18-03-1989;fabiana.55.eva@gmail.com;902085103
Guilherme Duarte Tavares Monteiro;20-04-1969;guilherme.772.duarte@outlook.com;969135875
Afonso Samuel Martins Barros;18-08-1960;afonso.217.samuel@hotmail.com;914275606
Sara Rafaela Magalhães Faria;18-11-1958;sara.114.rafaela@outlook.com;920165287
Eva Daniela Cardoso Cruz;27-06-1982;eva.774.daniela@hotmail.com;975075189
Filipe Mateus Cunha Jesus;06-07-1955;filipe.308.mateus@gmail.com;955519569
Matias Duarte Cruz Simões;03-07-1987;matias.284.duarte@outlook.com;910871182
Ricardo Alexandre Batista Ferreira;23-01-1994;ricardo.456.alexandre@outlook.com;923521967
Eva Alice Gonçalves Sousa;10-06-2002;eva.527.alice@hotmail.com;944255303
Vera Francisca Coelho Ferreira;04-01-1996;vera.842.francisca@outlook.com;942431650
Hugo Bruno Martins Antunes;03-07-1987;hugo.249.bruno@gmail.com;986190060
Nuno Luís marques Pinheiro;21-05-2001;nuno.492.lu@hotmail.com;984140563
Clara Filipa Correia Gomes;07-02-1986;clara.784.filipa@hotmail.com;978949429
Rui Tomás Simões Carvalho;16-04-2004;rui.664.tom@gmail.com;936551236
Rafael Samuel marques Antunes;13-08-1981;rafael.173.samuel@gmail.com;995011556
Miguel Lourenço Monteiro Santos;03-06-2003;miguel.834.louren@outlook.com;913119993
Hugo Rúben Pinto Monteiro;20-08-1975;hugo.969.ren@outlook.com;927608758
Clara Alice Guerreiro Figueiredo;10-06-1995;clara.354.alice@outlook.com;909866154
António Diogo Ferreira Batista;25-01-1975;antio.199.diogo@hotmail.com;907087498
Júlia Adriana Barros Soares;27-12-1982;jia.519.adriana@hotmail.com;975387260
Bernardo Guilherme Lopes Ferreira;18-07-1996;bernardo.881.guilherme@outlook.com;906817797
André Francisco Nunes Mendes;07-04-1983;andr.993.francisco@gmail.com;923688833
Raquel Juliana Ribeiro Santos;03-11-1997;raquel.253.juliana@microsoft.com;904723613
Tiago Lucas Pinheiro Simões;23-01-1966;tiago.472.lucas@hotmail.com;980943699
Duarte Luís Magalhães Ferreira;09-01-2003;duarte.456.lu@gmail.com;907892286
Pedro Alexandre Pereira Ribeiro;12-01-1983;pedro.637.alexandre@outlook.com;909772960
Marta Luísa Cunha Raposo;22-10-1961;marta.36.lua@gmail.com;967864359
Gustavo André Rocha Raposo;23-07-1951;gustavo.556.andr@gmail.com;992371219
Eduardo Lourenço Correia Oliveira;11-09-1981;eduardo.753.louren@hotmail.com;950880410
Guilherme Francisco Magalhães Ferreira;10-01-2001;guilherme.219.francisco@microsoft.com;992106192
Diego Rúben Costa Gonçalves;11-08-1974;diego.217.ren@hotmail.com;936730770
Luciana Elisa Jesus Neves;09-09-1953;luciana.365.elisa@outlook.com;945082061
Leandro Guilherme Cardoso Martins;11-08-1992;leandro.751.guilherme@hotmail.com;980053178
Gonçalo António Oliveira Faria;03-06-2004;gonlo.170.antio@microsoft.com;940374168
Luís Santiago Correia Ramos;14-07-1989;lu.147.santiago@microsoft.com;906077294
Rosa Lara Simões Almeida;16-01-1997;rosa.520.lara@outlook.com;937685360
Mariana Clara Cunha marques;15-01-1979;mariana.485.clara@microsoft.com;904811913
Tiago Gabriel Coelho Lopes;12-07-1997;tiago.64.gabriel@hotmail.com;935861910
André Eduardo Gonçalves Fonseca;18-03-2005;andr.646.eduardo@outlook.com;917777392
Luís Rodrigo Cunha Alves;13-11-1966;lu.242.rodrigo@gmail.com;940035131
Matilde Fabiana Cunha Miranda;07-01-1958;matilde.106.fabiana@hotmail.com;940332098
Alexandre Salvador Pereira Barros;12-04-1954;alexandre.924.salvador@microsoft.com;943863554
Vicente Bernardo Pinto Cruz;15-07-1965;vicente.621.bernardo@gmail.com;909685591
Carolina Isabel Tavares Barbosa;06-07-2000;carolina.208.isabel@gmail.com;914738591
Elisa Débora Martins Silva;25-01-2003;elisa.466.dora@hotmail.com;926536103
Inês Ana Figueiredo Miranda;02-04-1982;in.316.ana@hotmail.com;902456277
Luísa Luciana Pinto Lourenço;16-05-1977;lua.934.luciana@microsoft.com;959002839
Elisa Luísa Cruz Moreira;09-11-1981;elisa.390.lua@gmail.com;954389494
Bernardo Luís Jesus Correia;20-09-1969;bernardo.867.lu@outlook.com;975625678
Rita Mafalda Figueiredo Machado;24-08-1997;rita.845.mafalda@microsoft.com;994093970
Carlos Rodrigo Teixeira Barros;14-05-1985;carlos.793.rodrigo@hotmail.com;925708950
Manuel Matias Azevedo marques;19-04-1980;manuel.497.matias@outlook.com;951889223
Luís Gustavo Silva Araújo;17-04-1952;lu.43.gustavo@microsoft.com;970371622
Lucas João Barros Lourenço;14-11-1975;lucas.551.jo@hotmail.com;990757243
Juliana Mariana Tavares Moreira;28-08-1958;juliana.38.mariana@outlook.com;917141331
Diogo Daniel marques Magalhães;18-06-1962;diogo.145.daniel@gmail.com;919154708
Elisa Carolina Pires Teixeira;06-09-1980;elisa.237.carolina@hotmail.com;905458874
Bernardo João Faria Miranda;06-03-1964;bernardo.125.jo@gmail.com;984775438
Leandro António Barros Machado;18-03-1989;leandro.591.antio@outlook.com;944691601
Gabriel João Magalhães Raposo;24-07-1995;gabriel.402.jo@gmail.com;921742859
Catarina Elisa Silva Matos;10-01-2006;catarina.521.elisa@microsoft.com;938784350
Gabriela Sofia Lopes Ramos;18-01-1983;gabriela.218.sofia@gmail.com;998663557
André Carlos Rodrigues Vieira;23-08-1983;andr.722.carlos@microsoft.com;989374763
Matias Bernardo Henriques Costa;05-05-1950;matias.637.bernardo@hotmail.com;962705166
Rosa Elisa Alves Martins;11-05-1978;rosa.871.elisa@microsoft.com;929305593
Rui Gustavo Oliveira Soares;25-09-1977;rui.154.gustavo@microsoft.com;938916158
Mariana Francisca Simões Faria;06-09-2005;mariana.203.francisca@gmail.com;927642206
Marta Isabel Azevedo Teixeira;14-05-1957;marta.432.isabel@hotmail.com;949816975
Lucas Bernardo Castro Rodrigues;03-01-1966;lucas.19.bernardo@outlook.com;978074473
Teresa Vera Guerreiro Azevedo;24-10-1970;teresa.461.vera@hotmail.com;957568645
Adriana Júlia Teixeira Araújo;07-11-1988;adriana.126.jia@gmail.com;949159609
Bernardo Duarte Batista Sousa;22-10-1986;bernardo.225.duarte@microsoft.com;937955485
Amélia Adriana Martins Alves;16-06-1959;amia.843.adriana@microsoft.com;986534017
José Diego Tavares Henriques;15-03-1974;jos.917.diego@outlook.com;930863651
Rosa Teresa Barbosa Lopes;15-11-1989;rosa.767.teresa@hotmail.com;968740590
João David Henriques Barros;22-06-1952;jo.561.david@gmail.com;906716574
Ana Luísa Freitas Teixeira;21-06-1991;ana.698.lua@outlook.com;914918444
Madalena Maria Jesus Moreira;09-11-1954;madalena.179.maria@microsoft.com;918504939
Júlia Vera Silva Henriques;03-04-1981;jia.568.vera@outlook.com;995340014
Leandro Miguel Pires Lopes;04-05-1970;leandro.866.miguel@gmail.com;957120919
Hugo Luís Alves Castro;20-11-1994;hugo.782.lu@gmail.com;902247920
Miguel Rafael Guerreiro Henriques;05-07-2000;miguel.299.rafael@outlook.com;990163242
Carlos Filipe Correia Carvalho;02-04-2001;carlos.473.filipe@hotmail.com;931543835
Matias Henrique Mendes Correia;18-03-1981;matias.503.henrique@hotmail.com;945059097
Luís Rúben Cruz Coelho;13-05-1979;lu.361.ren@microsoft.com;913745111
Filipe Diogo Ferreira Oliveira;21-09-1989;filipe.366.diogo@gmail.com;938452791
Fabiana Joana Lourenço Monteiro;17-05-1982;fabiana.677.joana@outlook.com;963115317
Filipa Sara Lima Gomes;24-08-1963;filipa.825.sara@microsoft.com;915316085
Sofia Juliana Soares Correia;01-12-1958;sofia.497.juliana@outlook.com;942329324
Beatriz Teresa Miranda Silva;22-08-1987;beatriz.475.teresa@hotmail.com;904777302
Samuel Rúben Teixeira Faria;13-08-2000;samuel.636.ren@microsoft.com;990583218
Leonardo Matias Lourenço Cardoso;11-01-2001;leonardo.349.matias@hotmail.com;944526944
Duarte Eduardo Teixeira Raposo;14-05-1968;duarte.596.eduardo@outlook.com;953142559
Francisco Bernardo Simões Soares;15-03-1973;francisco.191.bernardo@microsoft.com;911625907
António Nuno Azevedo Cardoso;24-05-1988;antio.454.nuno@gmail.com;989242814
Ricardo Leandro Ribeiro Fonseca;20-11-1990;ricardo.654.leandro@hotmail.com;930800026
Bruno Samuel Barros Correia;04-08-1962;bruno.308.samuel@hotmail.com;932387959
Rafael Pedro Jesus Miranda;25-10-1964;rafael.717.pedro@hotmail.com;957360555
José Lucas Costa Ramos;12-03-1964;jos.553.lucas@microsoft.com;985340821
Clara Beatriz Alves Rodrigues;03-02-1982;clara.815.beatriz@outlook.com;951836837
Rui Bruno Correia Soares;05-01-1953;rui.580.bruno@hotmail.com;910302970
Rita Teresa Henriques Freitas;19-09-1988;rita.576.teresa@microsoft.com;998990454
José Hugo Gonçalves Antunes;12-03-1988;jos.968.hugo@microsoft.com;995036906
Eduardo Salvador Monteiro Batista;27-08-1999;eduardo.746.salvador@hotmail.com;990757434
Dinis Santiago Sousa Azevedo;07-06-1973;dinis.19.santiago@microsoft.com;986132423
Leonardo Santiago Lima Tavares;26-02-1967;leonardo.773.santiago@hotmail.com;991589172
Eduarda Diana Nunes Barros;16-05-1964;eduarda.865.diana@hotmail.com;928786423
Eduardo Rui Coelho Castro;12-08-1992;eduardo.501.rui@hotmail.com;908745126
Eduardo Nuno Lopes Coelho;23-05-1981;eduardo.720.nuno@microsoft.com;959284449
Elisa Margarida Costa Freitas;24-07-1973;elisa.146.margarida@hotmail.com;972721036
Amélia Marta Cunha Simões;04-11-1952;amia.910.marta@microsoft.com;976975196
Lourenço Nuno Lopes Jesus;21-09-1983;louren.104.nuno@gmail.com;903071821
Helena Rita Gonçalves Raposo;08-01-1977;helena.812.rita@gmail.com;981145174
Diana Eduarda Tavares Martins;23-07-1991;diana.336.eduarda@microsoft.com;905488761
Alexandre Diogo Jesus Rocha;08-10-1951;alexandre.384.diogo@microsoft.com;932327516
David Luís Lima Machado;03-10-1968;david.431.lu@microsoft.com;990395390
Francisca Luciana Neves Simões;12-12-1995;francisca.68.luciana@microsoft.com;925400091
Margarida Maria Rodrigues Gonçalves;07-11-1959;margarida.184.maria@hotmail.com;998652983
Dinis Vasco Pereira Rocha;23-09-1985;dinis.115.vasco@hotmail.com;987216038
Júlia Adriana Batista Araújo;05-03-1983;jia.280.adriana@microsoft.com;948182004
João José Araújo Pereira;02-12-1993;jo.588.jos@outlook.com;900756467
Santiago Rodrigo Matos Carvalho;09-06-1984;santiago.159.rodrigo@gmail.com;962423227
Carolina Luciana Vieira Gonçalves;19-09-1995;carolina.22.luciana@gmail.com;919376332
Sofia Juliana Tavares Magalhães;16-10-1990;sofia.590.juliana@hotmail.com;961446883
Afonso Leandro Antunes Soares;21-04-1976;afonso.513.leandro@microsoft.com;950443675
Raquel Ana Monteiro Azevedo;10-08-1966;raquel.530.ana@outlook.com;960355495
Elisa Carolina Coelho Cunha;18-07-1992;elisa.617.carolina@outlook.com;928756974
Sofia Leonor Lima Gonçalves;10-09-1989;sofia.153.leonor@outlook.com;911614809
Diogo Bruno Cardoso Miranda;23-03-2003;diogo.445.bruno@outlook.com;901532641
Carolina Luísa Jesus Rocha;19-06-2004;carolina.615.lua@hotmail.com;900295158
José Daniel Vieira Cruz;06-05-1977;jos.195.daniel@hotmail.com;952902181
Sara Amélia Cardoso Silva;24-09-1966;sara.631.amia@gmail.com;952045452
Mafalda Luciana Magalhães Cardoso;13-09-1962;mafalda.567.luciana@gmail.com;996852717
Luís Mateus Magalhães Ribeiro;07-04-1997;lu.293.mateus@microsoft.com;957497850
Hugo Alexandre Soares Faria;23-04-1968;hugo.357.alexandre@gmail.com;969248467
Inês Sofia Mendes Henriques;07-12-1963;in.908.sofia@gmail.com;905506437
Débora Eva Castro Costa;04-10-1993;dora.480.eva@gmail.com;909920867
Gustavo Daniel Azevedo Lourenço;25-03-1995;gustavo.854.daniel@microsoft.com;942145180
Lourenço David Costa Simões;25-05-1983;louren.441.david@hotmail.com;981815739
